lat,lon,iata,name,city,country,elevation
34.97875,-89.786861,OLV,Olive Branch/Taylor Field,Olive Branch,US,401.5
38.721827,-88.176433,OLY,Olney-Noble Airport,Olney-Noble,US,482.1
41.303167,-95.894056,OMA,Eppley Airfield,Omaha,US,984.5
48.464412,-119.518051,OMK,Omak Airport,Omak,US,1304.5
44.07961,-91.71163,ONA,Winona Municipal/Max Conrad Field,Winona,US,656.2
42.469361,-98.687778,ONL,The O'Neill Municipal-John L Baker Field,O'Neill,US,2033.7
34.022472,-106.903139,ONM,Socorro Municipal Airport,Socorro,US,4875.2
44.019361,-117.013028,ONO,Ontario Municipal Airport,Ontario,US,2193.3
44.580361,-124.057917,ONP,Newport Municipal Airport,Newport,US,160.1
34.056014,-117.601187,ONT,Ontario International Airport,Ontario,US,944.1
33.350889,-98.819167,ONY,Olney Municipal Airport,Olney,US,1275.4
41.226111,-92.493833,OOA,Oskaloosa Municipal Airport,Oskaloosa,US,840.2
25.907417,-80.278222,OPF,Miami-Opa Locka Executive Airport,Miami,US,8
30.5584,-92.099376,OPL,St Landry Parish Airport,Opelousas,US,74.3
41.597408,-71.412409,NCO,Quonset State Airport,North Kingstown,US,18.3
41.97694,-87.90815,ORD,Chicago O'Hare International Airport,Chicago,US,680
36.894604,-76.201229,ORF,Norfolk International Airport,Norfolk,US,26.4
42.267139,-71.875611,ORH,Worcester Regional Airport,Worcester,US,1009
57.884925,-152.847572,ORI,Port Lions Airport,Port Lions,US,42
28.545462,-81.33293,ORL,Orlando Executive Airport,Orlando,US,112.6
48.708337,-122.910595,ESD,Orcas Island Airport,Eastsound,US,34.8
33.096889,-94.96175,MPS,Mount Pleasant Regional Airport,Mount Pleasant,US,364.2
44.451524,-83.394165,OSC,Oscoda/Wurtsmith Airport,Oscoda,US,633
43.984371,-88.557042,OSH,Wittman Regional Airport,Oshkosh,US,808.5
40.079516,-83.073213,OSU,Ohio State University Airport,Columbus,US,905.5
33.09025,-89.542028,OSX,Kosciusko-Attala County Airport,Kosciusko,US,494.4
43.655056,-95.579194,OTG,Worthington Municipal Airport,Worthington,US,1574
43.416944,-124.247028,OTH,Southwest Oregon Regional Airport,North Bend,US,17.4
41.107222,-92.447167,OTM,Ottumwa Regional Airport,Ottumwa,US,845.6
35.245556,-97.472139,OUN,University Of Oklahoma Westheimer Airport,Norman,US,1181.7
39.487819,-121.621988,OVE,Oroville Municipal Airport,Oroville,US,194.2
44.122952,-93.258826,OWA,Owatonna Degner Regional Airport,Owatonna,US,1145.4
37.738834,-87.166829,OWB,Owensboro/Daviess County Regional Airport,Owensboro,US,407.3
42.190528,-71.172944,OWD,Norwood Memorial Airport,Norwood,US,49.2
44.7155,-69.866472,OWK,Central Maine/Norridgewock Airport,Norridgewock,US,270.2
38.310479,-75.124025,OCE,Ocean City Municipal Airport,Ocean City,US,15.9
41.478281,-73.135182,OXC,Waterbury-Oxford Airport,Oxford,US,730.1
39.50226,-84.784381,OXD,Miami University Airport,Oxford,US,1040.7
34.200807,-119.207226,OXR,Oxnard Airport,Oxnard,US,44.8
41.412478,-78.502631,STQ,St Marys Municipal Airport,St Marys,US,1934.3
30.735194,-101.202194,OZA,Ozona Municipal Airport,Ozona,US,2376.9
31.275777,-85.713351,OZR,Cairns Army Air Field (Fort Rucker) Airport,Fort Rucker,US,301
31.36399,-109.883129,BSQ,Bisbee Municipal Airport,Bisbee,US,4780
35.791611,-110.423389,PXL,Polacca Airport,Polacca,US,5573
33.353139,-110.667361,GLB,San Carlos Apache Airport,Globe,US,3260.8
34.940722,-110.1385,HBK,Holbrook Municipal Airport,Holbrook,US,5261.8
